estado	ano	pib	pib_d	abertura	desp_cor	pop
1	2010	240008969.7	219192616.3	1731042489	17486220084	2570160
1	2011	241601266.1	240008969.7	1439966628	18728957840	2646179
1	2012	242351097	241601266.1	1400637790	19291797535	2722198
1	2013	245287574.5	242351097	1615318583	20441919304	2763488
1	2014	258725156	245287574.5	1608379547	21280664280	2805774
1	2015	255301787.9	258725156	1490383531	28432022511	2848633
1	2016	262397538.5	255301787.9	1655475389	25801346173	2890224
1	2017	264821344.1	262397538.5	1316598487	20060235717	2931057
1	2018	265790020.2	264821344.1	1240444577	22016273112	2972209
1	2019	273613711	265790020.2	1269903404	21658420728	3012718
2	2010	257064728.4	243203511.6	15568279063	34909950542	14016906
2	2011	260410971.8	257064728.4	18677361432	36433639241	14219716
2	2012	269630059.1	260410971.8	18704569659	38401871323	14422526
2	2013	285638623.8	269630059.1	18485372352	40201480587	14485978
2	2014	293449380.4	285638623.8	18527570705	42083671918	14546705
2	2015	290150092.6	293449380.4	16066958488	41761391473	14609867
2	2016	288241724.8	290150092.6	12896882899	42372342486	14670485
2	2017	290794461.8	288241724.8	15235247948	44578901116	14730620
2	2018	298565449.6	290794461.8	16798852013	43832807187	14793319
2	2019	293240504	298565449.6	15085954483	44206469254	14853512
3	2010	55805437	53298598.39	899004409	8865275492	3766528
3	2011	58003979.79	55805437	1231104478	8777515642	3810856
3	2012	62748410.47	58003979.79	841334473	9488045985	3855184
3	2013	64669358.83	62748410.47	829211844	9851801070	3870182
3	2014	69370698.42	64669358.83	832192126	10073413500	3889589
3	2015	66476205.06	69370698.42	709176695	9548293433	3911887
3	2016	65844213.65	66476205.06	434409588	9303209593	3932871
3	2017	67521437.68	65844213.65	546943943	9363452194	3953448
3	2018	67145619.6	67521437.68	661037519	9744973650	3975329
3	2019	67986074	67145619.6	698727341	9715878366	3996784
4	2010	45168809.13	42635463.98	1219707557	7033015374	3120494
4	2011	49482438.99	45168809.13	1824022414	8400468060	3172333
4	2012	51173024.72	49482438.99	1444012858	7394000238	3224172
4	2013	51987444.25	51173024.72	1239031364	7645760054	3240801
4	2014	53695746.12	51987444.25	1213413101	8184844607	3256780
4	2015	54902252.6	53695746.12	1294218232	7876132962	3272460
4	2016	55109422.56	54902252.6	1000607995	9865092914	3286849
4	2017	57191737.39	55109422.56	1267538056	10168265912	3300736
4	2018	56756155.3	57191737.39	1093814144	8847583739	3315564
4	2019	58963729	56756155.3	984909417	7628598083	3330079
5	2010	177741934.9	163729654.9	8196963256	20062628713	6003788
5	2011	189594615.3	177741934.9	11339639582	17064112598	6159866
5	2012	204922835.6	189594615.3	12452021130	19419264357	6315944
5	2013	210975747.2	204922835.6	11882411181	20485162819	6417228
5	2014	216244586.2	210975747.2	11395109622	21021236646	6520487
5	2015	205593832.9	216244586.2	9233980108	19602922548	6625151
5	2016	202484773.6	205593832.9	8572225595	19877553592	6725748
5	2017	207713059.5	202484773.6	10156563177	21319994210	6824117
5	2018	204108075.7	207713059.5	11162014608	22291542351	6923260
5	2019	208672492	204108075.7	10782033903	26492305833	7020504
6	2010	584520857.9	506786254	41131810696		19597330
6	2011	625420749	584520857.9	54356981155		19911240
6	2012	653180112	625420749	45159262694		20225150
6	2013	680483013.6	653180112	45711003118	31295738959	20361190
6	2014	677023826.8	680483013.6	40298550025	83092144753	20498406
6	2015	614927075.1	677023826.8	30804249364	83566162255	20638664
6	2016	606932573.7	614927075.1	28476564889	81907643381	20769869
6	2017	623713402.2	606932573.7	32767341495	86237090838	20898151
6	2018	641353305.1	623713402.2	33498802831	84225081128	21030104
6	2019	651872684	641353305.1	34349773497	83707889851	21158152
7	2010	161793372.3	140624881.7	4383086270	26365388108	8796448
7	2011	172189637.3	161793372.3	6750733528	28422065455	8933827
7	2012	189019088.6	172189637.3	7931706692	30273269514	9071206
7	2013	196822507.8	189019088.6	7661748368	7280173823	9133857
7	2014	203306930	196822507.8	8275652619	33529647713	9196374
7	2015	185856745.8	203306930	6123314606	6153994565	9261237
7	2016	186426576.5	185856745.8	5868829285	29975095281	9320464
7	2017	196525131.4	186426576.5	7665968704	32217370547	9377552
7	2018	194376573.6	196525131.4	8878554765	32604410511	9439033
7	2019	197853378	194376573.6	7685873741	34360662495	9499409
8	2010	39799847.87	34776753.78	669237525	6450920196	1562409
8	2011	43101060.35	39799847.87	892233850	6983295423	1595241.5
8	2012	44471610.67	43101060.35	1468647679	7398278785	1628074
8	2013	43396270.76	44471610.67	1656358779	3401508807	1647705
8	2014	44595954.54	43396270.76	1710081257	7579232663	1667748
8	2015	43293726.34	44595954.54	1623158148	2735762980	1688138
8	2016	43959833.11	43293726.34	1421039099	6236769617	1707684
8	2017	47090138.25	43959833.11	1843362728	6550422059	1727248
8	2018	46848041.99	47090138.25	2139014309	6621689014	1747154
8	2019	47091336	46848041.99	2279326275	6671925835	1766689
9	2010	11052300.86	10000140.84	18962042		450479
9	2011	11416184.89	11052300.86	22273002	3039522289	438641.5
9	2012	11388587.88	11416184.89	20850334	2937390164	426804
9	2013	12564720.69	11388587.88	16075295	21965706359	436505
9	2014	12769200.19	12564720.69	29542632	2732173173	446318
9	2015	12128367.13	12769200.19	21266822	23339016507	456542
9	2016	12269023.21	12128367.13	22054493	3158382448	467919
9	2017	13098871.56	12269023.21	49896474	3049293853	486747
9	2018	13945719.95	13098871.56	26470550	2802660239	513466
9	2019	14292227	13945719.95	166990150	3292165901	539741
10	2010	255910181.1	227610934.8	19197203691	18931855868	6248436
10	2011	272080038.7	255910181.1	23606190648	20511982526	6384058.5
10	2012	283249639.8	272080038.7	23340325296	22394494451	6519681
10	2013	299119816.2	283249639.8	23382853546	2.16082E+11	6608855
10	2014	317854451.2	299119816.2	24983052324	23653319892	6698752
10	2015	294928962.3	317854451.2	20231931855	2.16551E+11	6790833
10	2016	286031163.5	294928962.3	17891941910	23610761122	6882511
10	2017	300042505.9	286031163.5	21030466789	24084209743	6973130
10	2018	311069200.7	300042505.9	24702945541	24886333260	7063804
10	2019	323263857	311069200.7	25854886104	24930219291	7153029
11	2010	2155301443	1987155620	1.19991E+11	1.89047E+11	41262199
11	2011	2245612308	2155301443	1.41957E+11	1.96505E+11	42188177.5
11	2012	2302439911	2245612308	1.36614E+11	2.09758E+11	43114156
